manh,masp,sl,dongia
DS000001,VC000011,30
DS000001,VC000025,18
DS000001,VC000024,11
DS000001,VC000001,12
DS000001,VC000013,30
DS000001,VC000028,15
DS000001,VC000008,14
DS000001,VC000023,28
DS000001,VC000020,25
DS000001,VC000018,11
DS000002,VC000004,16
DS000002,VC000019,24
DS000002,VC000026,14
DS000002,VC000027,24
DS000002,VC000008,18
DS000002,VC000020,11
DS000002,VC000010,28
DS000002,VC000003,17
DS000002,VC000007,12
DS000002,VC000006,21
DS000003,VC000002,16
DS000003,VC000008,12
DS000003,VC000024,17
DS000003,VC000005,17
DS000003,VC000021,19
DS000003,VC000027,16
DS000003,VC000014,29
DS000003,VC000017,22
DS000003,VC000015,18
DS000003,VC000028,10
DS000004,VC000019,20
DS000004,VC000029,23
DS000004,VC000026,23
DS000004,VC000016,11
DS000004,VC000024,22
DS000004,VC000006,15
DS000004,VC000005,10
DS000004,VC000002,18
DS000004,VC000015,13
DS000004,VC000023,22
DS000005,VC000027,23
DS000005,VC000028,21
DS000005,VC000025,22
DS000005,VC000012,27
DS000005,VC000018,24
DS000005,VC000008,13
DS000005,VC000030,12
DS000005,VC000006,28
DS000005,VC000016,30
DS000005,VC000023,20
DS000006,VC000009,24
DS000006,VC000001,14
DS000006,VC000025,23
DS000006,VC000026,28
DS000006,VC000024,11
DS000006,VC000017,22
DS000006,VC000023,20
DS000006,VC000008,22
DS000006,VC000016,11
DS000006,VC000022,12
DS000007,VC000021,19
DS000007,VC000009,22
DS000007,VC000017,18
DS000007,VC000020,15
DS000007,VC000003,17
DS000007,VC000016,13
DS000007,VC000025,21
DS000007,VC000026,28
DS000007,VC000004,24
DS000007,VC000024,12
DS000008,VC000019,17
DS000008,VC000001,24
DS000008,VC000017,11
DS000008,VC000027,25
DS000008,VC000014,22
DS000008,VC000005,20
DS000008,VC000021,13
DS000008,VC000028,23
DS000008,VC000008,18
DS000008,VC000010,18
DS000009,VC000016,26
DS000009,VC000026,29
DS000009,VC000011,18
DS000009,VC000009,26
DS000009,VC000015,26
DS000009,VC000012,16
DS000009,VC000013,10
DS000009,VC000027,28
DS000009,VC000002,15
DS000009,VC000030,29
DS000010,VC000004,20
DS000010,VC000006,21
DS000010,VC000003,10
DS000010,VC000019,14
DS000010,VC000002,25
DS000010,VC000026,15
DS000010,VC000007,28
DS000010,VC000020,11
DS000010,VC000022,13
DS000010,VC000023,18
DS000011,VC000015,17
DS000011,VC000006,16
DS000011,VC000008,28
DS000011,VC000014,24
DS000011,VC000021,14
DS000011,VC000016,28
DS000011,VC000004,26
DS000011,VC000027,11
DS000011,VC000010,19
DS000011,VC000025,21
DS000012,VC000019,12
DS000012,VC000022,22
DS000012,VC000004,27
DS000012,VC000005,30
DS000012,VC000026,12
DS000012,VC000001,23
DS000012,VC000014,20
DS000012,VC000011,19
DS000012,VC000016,28
DS000012,VC000021,24
DS000013,VC000015,25
DS000013,VC000019,16
DS000013,VC000021,22
DS000013,VC000017,12
DS000013,VC000005,28
DS000013,VC000012,23
DS000013,VC000016,18
DS000013,VC000030,13
DS000013,VC000020,13
DS000013,VC000014,21
DS000014,VC000028,24
DS000014,VC000003,25
DS000014,VC000007,30
DS000014,VC000005,26
DS000014,VC000027,25
DS000014,VC000025,15
DS000014,VC000016,29
DS000014,VC000009,25
DS000014,VC000004,30
DS000014,VC000018,14
DS000015,VC000009,16
DS000015,VC000010,13
DS000015,VC000024,15
DS000015,VC000011,11
DS000015,VC000014,24
DS000015,VC000022,18
DS000015,VC000004,25
DS000015,VC000005,25
DS000015,VC000001,23
DS000015,VC000021,11
DS000016,VC000028,27
DS000016,VC000011,13
DS000016,VC000007,29
DS000016,VC000009,22
DS000016,VC000017,29
DS000016,VC000024,27
DS000016,VC000021,10
DS000016,VC000029,10
DS000016,VC000016,28
DS000016,VC000026,30
DS000017,VC000013,11
DS000017,VC000014,26
DS000017,VC000028,19
DS000017,VC000030,16
DS000017,VC000004,22
DS000017,VC000019,11
DS000017,VC000009,11
DS000017,VC000007,21
DS000017,VC000015,22
DS000017,VC000011,10
DS000018,VC000022,23
DS000018,VC000014,18
DS000018,VC000011,19
DS000018,VC000009,12
DS000018,VC000027,23
DS000018,VC000005,18
DS000018,VC000020,30
DS000018,VC000023,24
DS000018,VC000012,10
DS000018,VC000001,29
DS000019,VC000021,14
DS000019,VC000010,12
DS000019,VC000007,18
DS000019,VC000001,20
DS000019,VC000027,19
DS000019,VC000025,21
DS000019,VC000022,28
DS000019,VC000009,28
DS000019,VC000024,16
DS000019,VC000006,25
DS000020,VC000029,15
DS000020,VC000030,19
DS000020,VC000021,21
DS000020,VC000003,22
DS000020,VC000018,20
DS000020,VC000001,10
DS000020,VC000016,17
DS000020,VC000002,28
DS000020,VC000007,15
DS000020,VC000024,13
