NV000001,02/07/2021,3,0,0,2,3,1,0,1
NV000002,02/07/2021,3,0,2,3,3,3,1,0
NV000003,02/07/2021,3,0,3,1,1,1,0,1
NV000004,02/07/2021,3,3,2,0,3,1,2,0
NV000005,02/07/2021,3,3,2,1,3,1,3,1
NV000006,02/07/2021,3,3,0,1,0,1,1,0
NV000007,02/07/2021,3,3,2,1,1,1,0,0
NV000008,02/07/2021,3,0,2,0,0,2,3,2
NV000009,02/07/2021,3,2,1,0,1,1,1,0
NV000010,02/07/2021,3,0,1,2,1,3,1,1
NV000011,02/07/2021,3,2,3,0,1,1,3,2
NV000012,02/07/2021,3,1,1,1,3,1,0,3
NV000013,02/07/2021,3,2,0,3,1,2,0,2
NV000014,02/07/2021,3,0,1,2,0,1,1,3
NV000015,02/07/2021,3,0,1,2,1,1,2,0
NV000016,02/07/2021,3,1,3,1,3,3,2,2
NV000017,02/07/2021,3,3,0,0,0,1,2,0
NV000018,02/07/2021,3,3,0,1,2,2,2,2
NV000019,02/07/2021,3,1,2,0,3,1,3,0
NV000020,02/07/2021,3,3,1,2,3,2,1,0
NV000021,02/07/2021,3,2,0,3,3,2,0,2
NV000022,02/07/2021,3,3,3,2,3,1,0,1
NV000023,02/07/2021,3,2,3,2,1,2,2,2
NV000024,02/07/2021,3,0,0,2,2,2,2,3
NV000025,02/07/2021,3,2,0,2,2,3,3,3
NV000026,02/07/2021,3,1,1,0,3,3,1,0
NV000027,02/07/2021,3,1,3,0,0,0,3,3
NV000028,02/07/2021,3,1,2,2,3,3,0,0
NV000029,02/07/2021,3,3,2,0,0,3,3,1
NV000030,02/07/2021,3,1,1,1,3,1,2,2
